,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
intercept,6.047,0.166,5.739,6.379,0.004,0.004,1655.0,2084.0,1.0
stage_sd,0.142,0.145,0.0,0.375,0.004,0.005,1271.0,1372.0,1.0
operator_sd,0.215,0.17,0.0,0.519,0.004,0.003,1265.0,1446.0,1.0
sigma,0.81,0.046,0.721,0.895,0.001,0.001,3436.0,2506.0,1.0
area_effect,1.131,0.054,1.026,1.226,0.001,0.001,3928.0,3126.0,1.0
stage_effect[operational],-0.045,0.139,-0.359,0.177,0.003,0.004,2220.0,2638.0,1.0
stage_effect[under_construction],-0.045,0.115,-0.278,0.149,0.003,0.004,1906.0,2396.0,1.0
stage_effect[permitted],0.07,0.143,-0.121,0.391,0.003,0.005,2313.0,2939.0,1.0
stage_effect[proposed],0.0,0.116,-0.234,0.212,0.003,0.005,2252.0,2204.0,1.0
stage_effect[cancelled],0.016,0.152,-0.251,0.356,0.003,0.005,3563.0,2971.0,1.0
operator_effect[Amazon],0.014,0.178,-0.326,0.395,0.003,0.004,3451.0,2625.0,1.0
operator_effect[Digital Realty],0.033,0.238,-0.434,0.532,0.004,0.006,4198.0,3277.0,1.0
operator_effect[Google],0.125,0.215,-0.183,0.631,0.004,0.004,2473.0,3022.0,1.0
operator_effect[Meta],-0.203,0.244,-0.711,0.133,0.005,0.004,1860.0,3379.0,1.0
operator_effect[Microsoft],-0.07,0.196,-0.488,0.279,0.004,0.004,2917.0,3375.0,1.0
operator_effect[Other],0.039,0.14,-0.211,0.344,0.004,0.003,1508.0,2099.0,1.0
operator_effect[QTS],0.027,0.199,-0.377,0.441,0.003,0.004,3830.0,3099.0,1.0
operator_effect[Vantage],0.07,0.205,-0.277,0.534,0.004,0.004,2965.0,2747.0,1.0
