political,missing_multiplier,time_multiplier,target_multiplier,county_shared,exclude_flagged,year,winner,measure,p05,median,p95,fixed_population
neutral,1.0,1.0,1.0,False,False,2026,Trump,operating_gw,25.97649389109591,35.484284395348205,48.71409236362862,39252529.0
neutral,1.0,1.0,1.0,False,False,2026,Trump,mw_per_1000_fixed_host_population,0.6617788599327171,0.9039999536169556,1.2410434080216495,39252529.0
neutral,1.0,1.0,1.0,False,False,2026,Trump,mw_per_1000_operating_host_population,1.7055742110668308,2.329840224650647,3.198487832856159,39252529.0
neutral,1.0,1.0,1.0,False,False,2026,Trump,operating_host_residents_millions,15.230351,15.230351,15.230351,39252529.0
neutral,1.0,1.0,1.0,False,False,2026,Trump,operating_project_count,64.0,64.0,64.0,39252529.0
neutral,1.0,1.0,1.0,False,False,2026,Trump,operating_gw_per_listed_proposal,0.0,0.0,0.0,39252529.0
neutral,1.0,1.0,1.0,False,False,2026,Harris,operating_gw,24.502423669546353,35.4271833161306,49.91683784770873,81424822.0
neutral,1.0,1.0,1.0,False,False,2026,Harris,mw_per_1000_fixed_host_population,0.30092081342893634,0.43509070632209174,0.6130420260262738,81424822.0
neutral,1.0,1.0,1.0,False,False,2026,Harris,mw_per_1000_operating_host_population,0.4878311248226481,0.7053376808550678,0.9938195291718388,81424822.0
neutral,1.0,1.0,1.0,False,False,2026,Harris,operating_host_residents_millions,50.227266,50.227266,50.227266,81424822.0
neutral,1.0,1.0,1.0,False,False,2026,Harris,operating_project_count,60.0,60.0,60.0,81424822.0
neutral,1.0,1.0,1.0,False,False,2026,Harris,operating_gw_per_listed_proposal,0.0,0.0,0.0,81424822.0
neutral,1.0,1.0,1.0,False,False,2026,Trump/Harris,intensity_ratio,1.372810900919085,2.084887326638582,3.242908720428874,
neutral,1.0,1.0,1.0,False,False,2028,Trump,operating_gw,39.112363854629216,55.18598720277985,76.40919025861238,39252529.0
neutral,1.0,1.0,1.0,False,False,2028,Trump,mw_per_1000_fixed_host_population,0.9964291435751623,1.4059218248785919,1.946605536132777,39252529.0
neutral,1.0,1.0,1.0,False,False,2028,Trump,mw_per_1000_operating_host_population,2.063612003643894,2.694024708566525,3.4688548962661936,39252529.0
neutral,1.0,1.0,1.0,False,False,2028,Trump,operating_host_residents_millions,17.0428291,20.4400315,24.686841949999998,39252529.0
neutral,1.0,1.0,1.0,False,False,2028,Trump,operating_project_count,86.0,118.0,156.0,39252529.0
neutral,1.0,1.0,1.0,False,False,2028,Trump,operating_gw_per_listed_proposal,0.0,0.005291021017156916,0.0362357308892903,39252529.0
neutral,1.0,1.0,1.0,False,False,2028,Harris,operating_gw,31.4607789258531,44.08979928051343,60.64532140058339,81424822.0
neutral,1.0,1.0,1.0,False,False,2028,Harris,mw_per_1000_fixed_host_population,0.38637823397210613,0.5414786080897227,0.744801399757231,81424822.0
neutral,1.0,1.0,1.0,False,False,2028,Harris,mw_per_1000_operating_host_population,0.5337832088511195,0.7309911597229293,0.9920511722172771,81424822.0
