id,name,status,county_winner,matched_county_fips,operator_group,mw,confidence,capacity_basis,capacity_mw_p05,capacity_mw_median,capacity_mw_p95
stak-energy-north-slope-ak,Stak Energy North Slope Data Center,proposed,Trump,2185,Other,3000.0,reported,reported,3000.0,3000.0,3000.0
core-scientific-auburn-al,Core Scientific Auburn Data Center (AUBix),under_construction,Trump,1081,Other,16.0,confirmed,reported,16.0,16.0,16.0
google-jackson-county-stevenson-al,Google Jackson County Campus,operational,Trump,1071,Google,,confirmed,model estimate,127.49705602458992,527.8155966420361,2031.465814060049
meta-huntsville-al,Meta Huntsville Data Center Campus,operational,Trump,1089,Meta,,confirmed,model estimate,32.30715962394724,328.72635019284155,3007.0656494589193
meta-montgomery-al,Meta Montgomery Data Center,under_construction,Harris,1101,Meta,,confirmed,model estimate,30.12428722744126,315.65808414859686,3168.838414189566
nebius-bhm01-birmingham-al,Nebius Birmingham AI Factory (BHM01),under_construction,Harris,1073,Other,300.0,confirmed,reported,300.0,300.0,300.0
qts-marvel-bessemer-al,QTS Bessemer (Project Marvel),proposed,Harris,1073,QTS,1200.0,reported,reported,1200.0,1200.0,1200.0
avaio-digital-leo-little-rock-ar,AVAIO Digital Leo Campus,proposed,Harris,5119,Other,1000.0,confirmed,reported,1000.0,1000.0,1000.0
google-west-memphis-ar,Google West Memphis Data Center Campus,under_construction,Harris,5035,Google,,confirmed,model estimate,312.8492131986114,1264.1241121247915,4763.627566930123
undisclosed-lollie-road-conway-ar,Lollie Road Data Center Campus,proposed,Trump,5045,Other,,reported,model estimate,211.49412764972132,796.7470733568316,3159.4525184052172
serverfarm-clarksville-ar,Serverfarm Clarksville Campus (ARK),under_construction,Trump,5071,Other,,confirmed,model estimate,62.79269393898855,229.38530918622254,912.7093109876843
aws-laveen-az,AWS Laveen Data Center Campus,proposed,Trump,4013,Amazon,,reported,model estimate,88.02814251577135,334.43268539624546,1269.1305750980587
aligned-phx-01-02-03-az,Aligned PHX-01/02/03,operational,Trump,4013,Other,,reported,model estimate,32.11883736059634,119.60781417853804,438.98138923652294
aligned-phx13-glendale-az,Aligned PHX-13,under_construction,Trump,4013,Other,72.0,confirmed,reported,72.0,72.0,72.0
apple-mesa-az,Apple Mesa Data Center (Global Command Center),operational,Trump,4013,Other,,confirmed,model estimate,41.7310638518788,160.37102368150676,651.3487516597987
tract-buckeye-tech-corridor-az,Buckeye Tech Corridor,permitted,Trump,4013,Other,1800.0,reported,reported,1800.0,1800.0,1800.0
digital-realty-phx15-az,Digital Realty PHX15,operational,Trump,4013,Digital Realty,,reported,model estimate,38.54464330068624,403.8126282264953,3672.6552314286223
edgecore-mesa-az,EdgeCore Mesa Data Center Campus,operational,Trump,4013,Other,450.0,confirmed,reported,450.0,450.0,450.0
edged-mesa-az,Edged Mesa Data Center,operational,Trump,4013,Other,,reported,model estimate,41.01786479908687,395.443568208325,3607.3120193545055
google-redhawk-mesa-az,Google Redhawk Mesa Data Center Campus,operational,Trump,4013,Google,400.0,confirmed,reported,400.0,400.0,400.0
arizona-land-consulting-hassayampa-ranch-tonopah-az,Hassayampa Ranch Data Center,proposed,Trump,4013,Other,1500.0,reported,reported,1500.0,1500.0,1500.0
vermaland-la-osa-eloy-az,La Osa Data Center Park,cancelled,Trump,4021,Other,,reported,model estimate,608.7717307047395,2450.1303635405147,7721.600487257748
fremont-peak-luckett-road-marana-az,Luckett Road Data Centers (Fremont Peak Properties),proposed,Harris,4019,Other,1500.0,reported,reported,1500.0,1500.0,1500.0
meta-mesa-az,Meta Mesa Data Center,operational,Trump,4013,Meta,,confirmed,model estimate,98.02578854184097,399.1517357977868,1586.1451981965954
microsoft-el-mirage-az,Microsoft El Mirage Data Center Campus,operational,Trump,4013,Microsoft,,confirmed,model estimate,119.62769394601388,493.08182976256364,1979.1121057781797
microsoft-goodyear-az,Microsoft Goodyear Data Center Campus,operational,Trump,4013,Microsoft,,confirmed,model estimate,145.55847032130038,574.5244347019674,2349.646168592199
ntt-global-mesa-az,NTT Global Data Centers Mesa — Pacific Proving Technology Park,proposed,Trump,4013,Other,360.0,reported,reported,360.0,360.0,360.0
novva-mesa-az,Novva Mesa Data Center Campus,under_construction,Trump,4013,Other,300.0,confirmed,reported,300.0,300.0,300.0
takanock-project-baccara-maricopa-county-az,Project Baccara,permitted,Trump,4013,Other,700.0,confirmed,reported,700.0,700.0,700.0
beale-project-blue-pima-county-az,Project Blue,under_construction,Harris,4019,Other,,confirmed,model estimate,106.38491928619078,391.2261035144044,1517.369274798256
beale-project-blue-tucson-az,Project Blue,under_construction,Harris,4019,Other,,confirmed,model estimate,102.69608201478266,413.3446736052567,1589.6483365516042
stream-data-centers-phxa-phoenix-i-vii-goodyear-campus-az,"Stream Data Centers PHXA (Phoenix I-VII, Goodyear Campus)",operational,Trump,4013,Other,280.0,reported,reported,280.0,280.0,280.0
avaio-perseus-pittsburg-ca,AVAIO Digital Perseus,permitted,Harris,6013,Other,99.0,confirmed,reported,99.0,99.0,99.0
amazon-gilroy-ca,Amazon AWS Gilroy Data Center,under_construction,Harris,6085,Amazon,98.0,confirmed,reported,98.0,98.0,98.0
calethos-lithium-valley-imperial-county-ca,CalEthos Lithium Valley Data Center Campus,proposed,Trump,6025,Other,,reported,model estimate,115.90452422404452,448.6013855079186,1743.257650626907
coresite-bowers-santa-clara-ca,CoreSite Bowers Data Center,permitted,Harris,6085,Other,72.0,confirmed,reported,72.0,72.0,72.0
coresite-la2-los-angeles-ca-ca,"CoreSite LA2 - Los Angeles, CA",operational,Harris,6037,Other,,reported,model estimate,42.16800329082119,401.0056383764406,3543.723131325082
cyrusone-nas-lemoore-ca,CyrusOne AI Data Center at NAS Lemoore,proposed,Trump,6031,Other,100.0,confirmed,reported,100.0,100.0,100.0
databank-san1-san-diego-ca,DataBank San Diego SAN1,operational,Harris,6073,Other,3.2,reported,reported,3.2,3.2,3.2
ecl-csc1-santa-clara-ca,ECL CSC-1 FlexGrid AI Data Center,proposed,Harris,6085,Other,35.0,reported,reported,35.0,35.0,35.0
raeden-grand-crossing-south-city-of-industry-ca,Grand Crossing South - Building 10,proposed,Harris,6037,Other,,reported,model estimate,46.17355861620033,417.2549880940121,3439.0582038637845
ivcm-imperial-county-ca,Imperial Valley Computer Manufacturing AI Data Center,proposed,Trump,6025,Other,330.0,reported,reported,330.0,330.0,330.0
prime-lax01-vernon-ca,Prime Data Centers LAX01,operational,Harris,6037,Other,,reported,model estimate,46.755657300720365,436.4459259890634,3825.2750222208547
prime-smf02-sacramento-ca,Prime Data Centers SMF02,under_construction,Harris,6067,Other,18.0,confirmed,reported,18.0,18.0,18.0
prologis-stem-park-zanker-road-san-jose-ca,Prologis STEM Park,proposed,Harris,6085,Other,396.0,reported,reported,396.0,396.0,396.0
prologis-silver-creek-valley-san-jose-ca,Prologis Silver Creek Valley Road Data Center,proposed,Harris,6085,Other,99.0,reported,reported,99.0,99.0,99.0
rb-inyokern-data-center-ca,RB Inyokern Data Center,proposed,Trump,6029,Other,99.0,reported,reported,99.0,99.0,99.0
scalematrix-san-diego-ca,ScaleMatrix San Diego,operational,Harris,6073,Other,20.0,reported,reported,20.0,20.0,20.0
serverfarm-lax1-el-segundo-ca,Serverfarm LAX1,operational,Harris,6037,Other,,reported,model estimate,44.05742215589399,420.73792720710026,3586.2813198321255
blusky-ai-walsenburg-co,BluSky AI Walsenburg (Indian Pool Ranch) Modular Data Center,proposed,Trump,8055,Other,15.0,reported,reported,15.0,15.0,15.0
coresite-de3-denver-co,CoreSite DE3,under_construction,Harris,8031,Other,60.0,confirmed,reported,60.0,60.0,60.0
global-ai-windsor-co,Global AI Windsor Data Center (former Kodak/Carestream campus),under_construction,Trump,8123,Other,27.5,confirmed,reported,27.5,27.5,27.5
qts-aurora-co,QTS Aurora-Denver Data Center Campus (DEN1),under_construction,Harris,8005,QTS,177.0,reported,reported,177.0,177.0,177.0
raeden-taurus-colorado-springs-co,Raeden Project Taurus,permitted,Trump,8041,Other,50.0,confirmed,reported,50.0,50.0,50.0
ne-edge-millstone-ct,NE Edge Millstone Nuclear Data Center,cancelled,Harris,9011,Other,300.0,confirmed,reported,300.0,300.0,300.0
starwood-digital-project-washington-de,Project Washington (Starwood Digital Ventures),proposed,Harris,10003,Other,1200.0,reported,reported,1200.0,1200.0,1200.0
cielo-haines-city-fl,Cielo Haines City Data Center,proposed,Trump,12105,Other,300.0,reported,reported,300.0,300.0,300.0
dcblox-palm-coast-cls-fl,DC BLOX Palm Coast Cable Landing Station,under_construction,Trump,12035,Other,,confirmed,model estimate,40.80833372097046,414.25222388704503,3841.580336918002
stonebridge-fort-meade-fl,Florida Ecopark AI Data Center Campus,proposed,Trump,12105,Other,1200.0,reported,reported,1200.0,1200.0,1200.0
metrobloks-mia-a1-miami-fl,Metrobloks MIA-A1 (MB01),proposed,Trump,12086,Other,15.2,confirmed,reported,15.2,15.2,15.2
project-tango-loxahatchee-fl,Project Tango AI Data Center Campus,cancelled,Harris,12099,Other,,reported,model estimate,83.88920623178716,318.3014909548575,1269.805685862053
aws-butts-county-ga,AWS Butts County Data Center Campus,proposed,Trump,13035,Amazon,,confirmed,model estimate,42.634793343544054,396.0803233956278,3587.3552726722473
aligned-atl-01-lithia-springs-ga,Aligned Data Centers ATL-01,operational,Harris,13097,Other,,reported,model estimate,44.08000951914949,410.2571891438131,3694.117827661924
4am-burkhalter-road-statesboro-ga,Burkhalter Road Data Center,proposed,Trump,13031,Other,,reported,model estimate,19.693316645860808,74.83561107489876,279.6488228226986
dcblox-atlanta-east-conyers-ga,DC BLOX Atlanta East Hyperscale Data Center Campus,under_construction,Harris,13247,Other,216.0,reported,reported,216.0,216.0,216.0
dc-blox-atlanta-west-ga,DC BLOX Atlanta West (ATL1),under_construction,Harris,13097,Other,120.0,confirmed,reported,120.0,120.0,120.0
databank-indo-cartersville-ga,DataBank Project Indo,proposed,Trump,13015,Other,200.0,reported,reported,200.0,200.0,200.0
edged-atlanta-tilford-yard-ga,Edged Atlanta (ATL01),operational,Harris,13121,Other,168.0,reported,reported,168.0,168.0,168.0
flexential-atlanta-douglasville-1-ga,Flexential Atlanta - Douglasville 1,operational,Harris,13097,Other,,reported,model estimate,40.70921102865091,398.24197615591464,3512.818210231516
grindcap-marietta-bells-ferry-ga,GrindCap Marietta Campus (Bells Ferry Road),proposed,Harris,13067,Other,108.0,confirmed,reported,108.0,108.0,108.0
meta-stanton-springs-newton-ga,Meta Newton Data Center (Stanton Springs),operational,Harris,13217,Meta,,reported,model estimate,30.50697826605606,321.64807005972057,3275.5291377841327
microsoft-firecracker-rome-ga,"Microsoft Data Center Campus – Rome, GA",permitted,Trump,13115,Microsoft,,reported,model estimate,126.18254793037858,474.2163786422035,1861.1943790536297
microsoft-douglasville-ga,Microsoft Douglasville Data Center Campus,under_construction,Harris,13097,Microsoft,,confirmed,model estimate,59.51520225135145,235.32456068832877,885.0620102536565
microsoft-fairwater-fayetteville-ga,Microsoft Fairwater Atlanta (Azure AI Superfactory),operational,Trump,13113,Microsoft,1500.0,confirmed,reported,1500.0,1500.0,1500.0
microsoft-tyrone-ga,Microsoft Tyrone Campus (Project Rita),permitted,Trump,13113,Microsoft,96.0,confirmed,reported,96.0,96.0,96.0
northern-data-maysville-ga,Northern Data Maysville HPC Campus,proposed,Trump,13157,Other,180.0,confirmed,reported,180.0,180.0,180.0
openai-project-camellia-effingham-ga,Project Camellia (OpenAI Effingham County Campus),proposed,Trump,13103,Other,3200.0,confirmed,reported,3200.0,3200.0,3200.0
prologis-project-sail-coweta-ga,Project Sail – Prologis Data Center Campus,permitted,Trump,13077,Other,900.0,confirmed,reported,900.0,900.0,900.0
qts-blue-hole-blakely-ga,QTS Project Blue Hole,permitted,Trump,13099,QTS,1000.0,confirmed,reported,1000.0,1000.0,1000.0
qts-eisenhower-augusta-ga,QTS Project Eisenhower,under_construction,Harris,13245,QTS,,confirmed,model estimate,64.97235985367148,271.7447132895427,1054.7167535412568
tpa-social-circle-technology-park-ga,Social Circle Technology Park,proposed,Harris,13217,Other,,reported,model estimate,110.10008071835102,453.9169126406908,1780.1539940108378
switch-atlanta-the-keep-ga,Switch Atlanta: The KEEP,operational,Harris,13097,Other,,reported,model estimate,40.93621345514246,420.1640101129419,3624.2655443251047
t5-atlanta-iv-palmetto-ga,T5 @ Atlanta IV,proposed,Harris,13121,Other,300.0,reported,reported,300.0,300.0,300.0
white-oak-technology-park-columbia-county-ga,White Oak Technology Park,permitted,Trump,13073,Other,,confirmed,model estimate,474.8527659785306,1784.504317944361,6079.689770387136
servpac-mtp2-mililani-hi,Servpac MTP Building 2,proposed,Harris,15003,Other,,confirmed,model estimate,41.80430700609271,437.356993446458,3695.145249938276
apple-waukee-ia,Apple Waukee Data Center,operational,Trump,19049,Other,,confirmed,model estimate,431.2365768934751,1617.5625337209508,5646.738791522578
google-cedar-rapids-ia,Google Cedar Rapids Data Center Campus,under_construction,Harris,19113,Google,,confirmed,model estimate,352.4418791146477,1361.979364116618,5184.444851410935
google-council-bluffs-ia,Google Council Bluffs Data Center,operational,Trump,19155,Google,,confirmed,model estimate,48.25636733329288,447.5462661964008,4056.206544955537
meta-altoona-ia,Meta Altoona Data Center Campus,operational,Harris,19153,Meta,,confirmed,model estimate,32.35133505198187,324.42429321876745,3067.489512476203
microsoft-ginger-west-ia,Microsoft Project Ginger West Data Center,under_construction,Harris,19153,Microsoft,,reported,model estimate,65.09650421807984,258.9480361613893,1069.6319452928142
qts-cedar-rapids-ia,QTS Cedar Rapids Data Center Campus,under_construction,Harris,19113,QTS,1050.0,confirmed,reported,1050.0,1050.0,1050.0
qts-clinton-clinton-county-ia,QTS Clinton Data Center Campus,proposed,Trump,19045,QTS,,reported,model estimate,282.0306744321447,1180.6430956147913,4554.109278042673
midamerican-salix-ia,Salix Data Center Site (MidAmerican),proposed,Trump,19193,Other,,rumored,model estimate,237.60159022450236,950.1788891969366,3476.9633420920936
meta-kuna-id,Meta Kuna Data Center,under_construction,Trump,16001,Meta,,confirmed,model estimate,112.53712084257285,469.03887536983984,1924.6989157488251
lex-portneuf-pocatello-id,Portneuf Data Center (former Hoku plant),cancelled,Trump,16005,Other,100.0,confirmed,reported,100.0,100.0,100.0
aligned-ord-01-il,Aligned ORD-01,operational,Harris,17031,Other,,reported,model estimate,38.508215950131024,403.46914950967846,3651.83316105871
cyrusone-chi1-chi3-aurora-il,CyrusOne CHI1-CHI3 (Aurora),operational,Harris,17043,Other,,reported,model estimate,44.79472762901238,428.791860988778,3413.901029673846
edgeconnex-chi02-il,EdgeConneX CHI02,operational,Harris,17031,Other,,reported,model estimate,41.142487893303326,417.9212028962273,3718.8976512861664
edged-aurora-il,Edged Chicago Campus — Aurora (ORD01),under_construction,Harris,17043,Other,72.0,confirmed,reported,72.0,72.0,72.0
equinix-ch8-minooka-il,Equinix CH8 Minooka,proposed,Trump,17063,Other,,confirmed,model estimate,108.60444367630095,435.5892924448417,1622.2265500693388
hut8-batavia-il,Hut 8 Batavia Data Center,under_construction,Harris,17089,Other,50.0,confirmed,reported,50.0,50.0,50.0
hydravault-chicago-il,HydraVault Chicago,under_construction,Harris,17031,Other,20.0,confirmed,reported,20.0,20.0,20.0
joliet-technology-center-il,Joliet Technology Center,permitted,Harris,17197,Other,1800.0,confirmed,reported,1800.0,1800.0,1800.0
lambda-chicago-edgeconnex-il,Lambda Chicago EdgeConneX AI Factory,under_construction,Harris,17031,Other,23.0,confirmed,reported,23.0,23.0,23.0
hut8-logan-prairie-latham-il,Logan Prairie Data Center,proposed,Trump,17107,Other,500.0,reported,reported,500.0,500.0,500.0
eagle-rock-meridian-technology-park-taylorville-il,Meridian Technology Park,proposed,Trump,17021,Other,1000.0,reported,reported,1000.0,1000.0,1000.0
meta-dekalb-data-center-il,Meta DeKalb Data Center,operational,Harris,17037,Meta,,confirmed,model estimate,34.8258425354298,324.4784464390889,3270.07116913261
ntt-chicago-ch2-data-center-il,NTT Chicago CH2 Data Center,operational,Harris,17043,Other,,reported,model estimate,44.36618833592426,422.84323588697237,3527.495823113075
project-cardinal-yorkville-il,Project Cardinal Data Center Campus,permitted,Harris,17093,Other,1800.0,confirmed,reported,1800.0,1800.0,1800.0
t5-chicago-iv-grayslake-il,T5 Chicago IV (CHI IV),under_construction,Harris,17097,Other,1200.0,confirmed,reported,1200.0,1200.0,1200.0
chirisa-volo-data-center-il,Volo Data Center,operational,Harris,17097,Other,,reported,model estimate,29.557284846212625,114.92089707487851,423.3145024038551
aws-hobart-in,AWS Hobart Campus,under_construction,Harris,18089,Amazon,2400.0,confirmed,reported,2400.0,2400.0,2400.0
aws-wheatfield-in,AWS Wheatfield Campus (Project Rise),permitted,Trump,18073,Amazon,,confirmed,model estimate,109.29499629314262,446.53883495755275,1903.435824474929
amazon-project-rainier-new-carlisle-in,Amazon Project Rainier,operational,Harris,18141,Amazon,2200.0,confirmed,reported,2200.0,2200.0,2200.0
coreweave-digital-crossroads-hammond-in,CoreWeave Digital Crossroads,cancelled,Harris,18089,Other,180.0,confirmed,reported,180.0,180.0,180.0
dc-blox-warren-township-marion-county-in,DC BLOX Warren Township Data Center,permitted,Harris,18097,Other,78.0,confirmed,reported,78.0,78.0,78.0
google-fort-wayne-in,Google Fort Wayne Data Center (Project Zodiac),operational,Trump,18003,Google,,confirmed,model estimate,207.40433422235398,817.2731093713446,3400.6985808814047
google-project-louie-monrovia-in,Google Project Louie (Morgan County),under_construction,Trump,18109,Google,390.0,confirmed,reported,390.0,390.0,390.0
