id,name,county_winner,status,operating_mw_2030_p05,operating_mw_2030_median,operating_mw_2030_p95,mean_operating_mw_2030,probability_operating_2030
stak-energy-north-slope-ak,Stak Energy North Slope Data Center,Trump,proposed,0.0,0.0,1293.6171204767588,234.60973154351186,0.2185
core-scientific-auburn-al,Core Scientific Auburn Data Center (AUBix),Trump,under_construction,0.0,16.0,16.0,13.084100980837947,0.87475
google-jackson-county-stevenson-al,Google Jackson County Campus,Trump,operational,127.49705602458992,519.6689292676913,1902.503777735844,708.0300694787833,1.0
meta-huntsville-al,Meta Huntsville Data Center Campus,Trump,operational,32.30715962394724,327.21951123566276,2784.6073909377596,706.8573374269848,1.0
meta-montgomery-al,Meta Montgomery Data Center,Harris,under_construction,0.0,190.40996612584667,1345.3605506562783,363.8783592162799,0.8815
nebius-bhm01-birmingham-al,Nebius Birmingham AI Factory (BHM01),Harris,under_construction,0.0,242.66063208275312,300.0,209.69187120631693,0.8795
qts-marvel-bessemer-al,QTS Bessemer (Project Marvel),Harris,proposed,0.0,0.0,633.281831259116,94.61482769126155,0.17825
avaio-digital-leo-little-rock-ar,AVAIO Digital Leo Campus,Harris,proposed,0.0,0.0,489.86005471915445,66.14065665867277,0.14975
google-west-memphis-ar,Google West Memphis Data Center Campus,Harris,under_construction,0.0,605.3005650879111,1928.0880787517904,737.3137911037073,0.87425
undisclosed-lollie-road-conway-ar,Lollie Road Data Center Campus,Trump,proposed,0.0,0.0,746.9054903015914,128.740766290026,0.275
serverfarm-clarksville-ar,Serverfarm Clarksville Campus (ARK),Trump,under_construction,0.0,155.22596894349863,570.0004165684129,204.12647510223232,0.8685
aws-laveen-az,AWS Laveen Data Center Campus,Trump,proposed,0.0,0.0,319.3846723551094,50.09111248353319,0.2075
aligned-phx-01-02-03-az,Aligned PHX-01/02/03,Trump,operational,32.11883736059634,119.55079060976225,436.2608042920677,163.6264398848892,1.0
aligned-phx13-glendale-az,Aligned PHX-13,Trump,under_construction,0.0,72.0,72.0,58.195199655933116,0.87225
