matched_county_fips,matched_county_name,matched_state,trump_pct,county_winner,total_votes,facility_count,total_mw
01071,Jackson County,AL,85.22119385242422,Trump,23554,1,0.0
01073,Jefferson County,AL,43.91544857181172,Harris,298280,2,1500.0
01081,Lee County,AL,62.972468502099865,Trump,72862,1,16.0
01089,Madison County,AL,53.37323039282869,Trump,197007,1,0.0
01101,Montgomery County,AL,33.96715450787621,Harris,89510,1,0.0
02185,North Slope Borough,AK,54.27745664739885,Trump,1730,1,3000.0
04013,Maricopa County,AZ,51.1956746650957,Trump,2053945,17,5862.0
04019,Pima County,AZ,41.83145743370695,Harris,513176,3,1500.0
04021,Pinal County,AZ,60.57016874093304,Trump,209552,1,0.0
05035,Crittenden County,AR,47.871398406103125,Harris,14681,1,0.0
05045,Faulkner County,AR,64.91691912237216,Trump,54465,1,0.0
05071,Johnson County,AR,74.68815542554366,Trump,9059,1,0.0
05119,Pulaski County,AR,37.665991008549675,Harris,153924,1,1000.0
06013,Contra Costa County,CA,29.35951167041912,Harris,528987,1,99.0
06025,Imperial County,CA,49.12469003293978,Trump,54038,2,330.0
06029,Kern County,CA,59.26173027774247,Trump,283284,1,99.0
06031,Kings County,CA,60.40763226366002,Trump,41508,1,100.0
06037,Los Angeles County,CA,31.907578499735457,Harris,3729089,4,0.0
06067,Sacramento County,CA,38.39225759691327,Harris,656747,1,18.0
06073,San Diego County,CA,40.1392937075617,Harris,1478028,2,23.2
06085,Santa Clara County,CA,28.100494800201435,Harris,750606,5,700.0
08005,Arapahoe County,CO,38.50379934306547,Harris,325451,1,177.0
08031,Denver County,CO,20.592107437561282,Harris,363076,1,60.0
08041,El Paso County,CO,74.49184503110153,Trump,20417,1,50.0
08055,Huerfano County,CO,52.861649391617846,Trump,4438,1,15.0
08123,Weld County,CO,59.19746016213151,Trump,179854,1,27.5
09011,New London County,CT,42.80648466395866,Harris,137617,1,300.0
10003,New Castle County,DE,32.924891723072236,Harris,275682,1,1200.0
12035,Flagler County,FL,63.79301720688275,Trump,79968,1,0.0
12086,Miami-Dade County,FL,55.350263457346415,Trump,1094105,1,15.2
12099,Palm Beach County,FL,49.19291573522648,Harris,745709,1,0.0
12105,Polk County,FL,59.90983890797894,Trump,348931,2,1500.0
13015,Bartow County,GA,75.19245138756148,Trump,57547,1,200.0
13031,Bulloch County,GA,64.25881128088923,Trump,32657,1,0.0
13035,Butts County,GA,72.38651202089255,Trump,13019,1,0.0
13067,Cobb County,GA,42.02591630145826,Harris,401369,1,108.0
13073,Columbia County,GA,62.44995344506518,Trump,85920,1,0.0
13077,Coweta County,GA,66.58131197914243,Trump,85916,1,900.0
13097,Douglas County,GA,33.930515688409386,Harris,70721,5,120.0
13099,Early County,GA,55.70813691330191,Trump,4879,1,1000.0
13103,Effingham County,GA,74.33782143251297,Trump,36244,1,3200.0
13113,Fayette County,GA,51.15297522543647,Trump,74633,2,1596.0
13115,Floyd County,GA,70.70275828155036,Trump,44738,1,0.0
13121,Fulton County,GA,27.026294844536448,Harris,535238,2,468.0
13157,Jackson County,GA,77.25377304574222,Trump,47243,1,180.0
13217,Newton County,GA,42.155086281350016,Harris,59051,2,0.0
13245,Richmond County,GA,31.673406877407928,Harris,83578,1,0.0
13247,Rockdale County,GA,25.932240921169175,Harris,45160,1,216.0
15003,Honolulu County,HI,38.27543624476052,Harris,340921,1,0.0
16001,Ada County,ID,53.75796035435029,Trump,267419,1,0.0
16005,Bannock County,ID,60.85901540924554,Trump,39976,1,100.0
17021,Christian County,IL,72.55065937600514,Trump,15545,1,1000.0
17031,Cook County,IL,28.080081222024017,Harris,2079239,4,43.0
17037,DeKalb County,IL,70.83920563741192,Trump,7805,1,0.0
17043,DuPage County,IL,41.858291637665744,Harris,456882,3,72.0
17063,Grundy County,IL,63.924931362593554,Trump,26589,1,0.0
17089,Kane County,IL,44.404878005135686,Harris,223534,1,50.0
17093,Kendall County,IL,48.14976580267181,Harris,66397,1,1800.0
17097,Lake County,IL,38.72530257660503,Harris,310913,2,1200.0
17107,Logan County,IL,69.69914040114614,Trump,12564,1,500.0
17197,Will County,IL,48.128838475720684,Harris,327604,1,1800.0
18003,Allen County,IN,55.333010547734474,Trump,163163,1,0.0
18011,Boone County,IN,56.94482535091875,Trump,40109,1,1000.0
18019,Clark County,IN,59.26090220432676,Trump,58612,1,407.0
18073,Jasper County,IN,76.34272715784152,Trump,15826,1,0.0
18077,Jefferson County,IN,67.1040692398967,Trump,14327,1,0.0
18089,Lake County,IN,46.418294353164626,Harris,209551,3,3080.0
