id,name,operator,status,state,county_raw,county_geocoded,city,lat,lon,mw,acres,investment,announced,jurisdiction,matched_county_fips,matched_county_name,matched_state,trump_votes,harris_votes,total_votes,trump_pct,harris_pct,margin_pct,county_winner
stak-energy-north-slope-ak,Stak Energy North Slope Data Center,Stak Energy,proposed,AK,North Slope,North Slope Borough,,69.84,-148.5,3000.0,715.0,500000000.0,2026-05,uninc,02185,North Slope Borough,AK,939,690,1730,54.27745664739885,39.884393063583815,14.39306358381503,Trump
core-scientific-auburn-al,Core Scientific Auburn Data Center (AUBix),Core Scientific,under_construction,AL,Lee,Lee County,Auburn,32.6089,-85.4879,16.0,,400000000.0,,city,01081,Lee County,AL,45883,25672,72862,62.972468502099865,35.23372951607148,27.738738986028384,Trump
google-jackson-county-stevenson-al,Google Jackson County Campus,Google,operational,AL,Jackson,Jackson County,Stevenson,34.8842,-85.755,,360.0,1500000000.0,2015-06-24,uninc,01071,Jackson County,AL,20073,3274,23554,85.22119385242422,13.899974526619681,71.32121932580453,Trump
meta-huntsville-al,Meta Huntsville Data Center Campus,Meta,operational,AL,Madison,Madison County,Huntsville,34.726,-86.647,,,1500000000.0,2018,city,01089,Madison County,AL,105149,87509,197007,53.37323039282869,44.41923383433076,8.953996558497922,Trump
meta-montgomery-al,Meta Montgomery Data Center,Meta,under_construction,AL,Montgomery,Montgomery County,Montgomery,32.185,-86.273,,,1500000000.0,2024-05,uninc,01101,Montgomery County,AL,30404,57734,89510,33.96715450787621,64.50005585968049,-30.53290135180427,Harris
nebius-bhm01-birmingham-al,Nebius Birmingham AI Factory (BHM01),Nebius Group,under_construction,AL,Jefferson,Jefferson County,Birmingham,33.4556,-86.8131,300.0,80.0,,2025-09-30,city,01073,Jefferson County,AL,130991,161828,298280,43.91544857181172,54.253721335657765,-10.33827276384605,Harris
qts-marvel-bessemer-al,QTS Bessemer (Project Marvel),QTS Data Centers,proposed,AL,Jefferson,Jefferson County,Bessemer,33.44,-86.97,1200.0,1607.0,,2025,uninc,01073,Jefferson County,AL,130991,161828,298280,43.91544857181172,54.253721335657765,-10.33827276384605,Harris
avaio-digital-leo-little-rock-ar,AVAIO Digital Leo Campus,AVAIO Digital Partners,proposed,AR,Pulaski,Pulaski County,,34.68,-92.296,1000.0,760.0,6000000000.0,2026-01,city,05119,Pulaski County,AR,57977,92038,153924,37.665991008549675,59.79444401133027,-22.128453002780592,Harris
google-west-memphis-ar,Google West Memphis Data Center Campus,Google,under_construction,AR,Crittenden,Crittenden County,West Memphis,35.156,-90.175,,1178.0,4000000000.0,2025-10,city,05035,Crittenden County,AR,7028,7362,14681,47.871398406103125,50.14644778966011,-2.2750493835569783,Harris
undisclosed-lollie-road-conway-ar,Lollie Road Data Center Campus,Undisclosed,proposed,AR,Faulkner,Faulkner County,Conway,35.0887,-92.4421,,700.0,1000000000.0,2025-06,city,05045,Faulkner County,AR,35357,17752,54465,64.91691912237216,32.593408611034604,32.32351051133755,Trump
